# Time is in days from January 1, 2009
# X and Y are in Finnish UTM km. 
"Time","X","Y","Z"
52,3583371.22,7105104.01,3583371.22+7105104.01i
52.1666666666667,3583365.78,7105085.56,3583365.78+7105085.56i
52.3333333333333,3583380.31,7105098.26,3583380.31+7105098.26i
52.5,3581673.16,7105596.11,3581673.16+7105596.11i
52.6666666666667,3581714.95,7105537.59,3581714.95+7105537.59i
52.8333333333333,3581703.55,7105332.03,3581703.55+7105332.03i
53,3581692.12,7105329.31,3581692.12+7105329.31i
53.1666666666667,3581561.07,7105261.18,3581561.07+7105261.18i
53.3333333333333,3581517.55,7104951.87,3581517.55+7104951.87i
57,3579835.05,7106144.94,3579835.05+7106144.94i
57.1666666666667,3579882.48,7106204.95,3579882.48+7106204.95i
57.3333333333333,3579854.72,7106200.64,3579854.72+7106200.64i
57.5,3579882.5,7106267.37,3579882.5+7106267.37i
57.6666666666667,3578855.25,7106661.03,3578855.25+7106661.03i
57.8333333333333,3579162.41,7107617,3579162.41+7107617i
58,3579220.61,7107623.51,3579220.61+7107623.51i
59.3333333333333,3579798.61,7106497.2,3579798.61+7106497.2i
59.5,3579844.1,7106469.38,3579844.1+7106469.38i
59.6666666666667,3580036.32,7106476.9,3580036.32+7106476.9i
59.8333333333333,3580046.09,7106453.78,3580046.09+7106453.78i
60,3580068.6,7106440.97,3580068.6+7106440.97i
60.1666666666667,3580069.28,7106436.34,3580069.28+7106436.34i
60.3333333333333,3580176.23,7105982.93,3580176.23+7105982.93i
61.6666666666667,3581594.1,7105549,3581594.1+7105549i
61.8333333333333,3582767.8,7104289,3582767.8+7104289i
62,3582733.81,7104364.14,3582733.81+7104364.14i
62.1666666666667,3582749.55,7104291.03,3582749.55+7104291.03i
62.3333333333333,3582832.03,7104129.61,3582832.03+7104129.61i
62.5,3583742.11,7102133.81,3583742.11+7102133.81i
62.6666666666667,3584912.96,7102856.44,3584912.96+7102856.44i
62.8333333333333,3584708.1,7103026.36,3584708.1+7103026.36i
63,3584319.34,7104154.95,3584319.34+7104154.95i
63.1666666666667,3584280.84,7104212.36,3584280.84+7104212.36i
63.3333333333333,3584665.21,7104261.4,3584665.21+7104261.4i
63.5,3585276.03,7102974.81,3585276.03+7102974.81i
63.6666666666667,3583953.96,7102147.48,3583953.96+7102147.48i
63.8333333333333,3583778.02,7102820.01,3583778.02+7102820.01i
64,3583710.78,7102956.07,3583710.78+7102956.07i
64.1666666666667,3583718.35,7102937.86,3583718.35+7102937.86i
64.3333333333333,3584242.3,7102506.37,3584242.3+7102506.37i
