TAG,DATETIME,X,Y,D,LAT,LON,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX
T28, 2010-05-02 21:19:49, 4963.08, 5234.56,  5.000,   45.495411,  -84.073880,   4.4,        ,        ,        ,        , R08 R09 R12 R13 R14 R15 R16 R28 R29 R30 R32 R33 R39
T28, 2010-05-02 21:20:59, 4971.16, 5231.15,  5.000,   45.495381,  -84.073777,   2.6,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:21:39, 4971.13, 5230.97,  5.055,   45.495379,  -84.073777,   2.7,        ,        ,  5.0552,        , R07 R08 R12 R13 R14 R16 R17 R27 R28 R29 R30 R32 R33 R34 R38 R39
T28, 2010-05-02 21:22:11, 4971.54, 5231.13,  5.000,   45.495381,  -84.073772,   2.6,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R16 R17 R18 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R39
T28, 2010-05-02 21:22:57, 4971.27, 5230.86,  5.055,   45.495378,  -84.073776,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:23:38, 4971.21, 5230.94,  5.000,   45.495379,  -84.073776,   2.6,        ,        ,        ,        , R07 R08 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:24:13, 4971.12, 5230.82,  5.055,   45.495378,  -84.073777,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R10 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:25:50, 4962.20, 5233.21,  5.055,   45.495399,  -84.073892,   4.9,        ,        ,  5.0552,        , R08 R13 R17 R20 R29 R38
T28, 2010-05-02 21:26:38, 4971.41, 5231.13,  5.000,   45.495381,  -84.073774,   2.6,        ,        ,        ,        , R07 R08 R09 R12 R14 R15 R16 R17 R18 R19 R20 R22 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:27:26, 4972.15, 5234.33,  5.055,   45.495409,  -84.073764,   4.4,        ,        ,  5.0552,        , R12 R13 R14 R15 R18 R29 R30 R32
T28, 2010-05-02 21:28:11, 4974.02, 5233.22,  5.000,   45.495399,  -84.073740,   2.8,        ,        ,        ,        , R12 R13 R15 R16 R17 R18 R19 R22 R25 R26 R33 R34
T28, 2010-05-02 21:28:54, 4971.95, 5232.74,  5.055,   45.495395,  -84.073767,   2.8,        ,        ,  5.0552,        , R04 R07 R08 R13 R14 R15 R16 R17 R18 R19 R25 R26 R28 R29 R33 R34 R35
T28, 2010-05-02 21:29:51, 4967.20, 5234.25,  5.055,   45.495409,  -84.073828,   6.4,        ,        ,  5.0552,        , R04 R29 R35
T28, 2010-05-02 21:30:15, 4974.16, 5239.10,  5.000,   45.495452,  -84.073739,   8.1,        ,        ,        ,        , R07 R08 R12 R13 R14 R15 R16 R17 R27 R28 R29 R30
T28, 2010-05-02 21:30:45, 4971.33, 5230.91,  5.055,   45.495379,  -84.073775,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:32:44, 4971.51, 5230.74,  5.000,   45.495377,  -84.073772,   2.6,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:33:26, 4971.58, 5230.93,  5.055,   45.495379,  -84.073772,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:34:00, 5024.67, 5219.59,  5.000,   45.495277,  -84.073092, 784.9,        ,        ,        ,        , R12 R13 R14 R15 R30
T28, 2010-05-02 21:34:42, 4971.66, 5231.10,  5.000,   45.495380,  -84.073771,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:35:05, 4967.00, 5230.92,  5.055,   45.495379,  -84.073830,   2.9,        ,        ,  5.0552,        , R04 R13 R14 R17 R20 R25 R26 R28 R29 R30 R32 R33 R35 R37 R38 R39
T28, 2010-05-02 21:36:09, 4971.15, 5230.72,  5.055,   45.495377,  -84.073777,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:36:59, 4972.31, 5231.00,  5.055,   45.495379,  -84.073762,   4.8,        ,        ,  5.0552,        , R08 R10 R12 R13 R14 R28 R29 R30 R32 R39
T28, 2010-05-02 21:37:34, 4971.28, 5230.92,  5.000,   45.495379,  -84.073775,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:37:55, 4971.40, 5230.85,  5.055,   45.495378,  -84.073774,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:38:18, 4969.17, 5231.32,  5.000,   45.495382,  -84.073802,   3.3,        ,        ,        ,        , R07 R12 R14 R15 R18 R26 R39
T28, 2010-05-02 21:38:45, 4971.23, 5230.83,  5.055,   45.495378,  -84.073776,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R20 R22 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:39:19, 4984.24, 5250.36,  5.000,   45.495554,  -84.073610,  10.7,        ,        ,        ,        , R07 R12 R13 R15 R16 R17 R27 R28 R29 R37 R38
T28, 2010-05-02 21:39:40, 5004.17, 5229.56,  5.055,   45.495366,  -84.073355, 349.7,        ,        ,  5.0552,        , R12 R13 R32 R39
